verb_infinitive,verb_language_code,spanish_tense,form_name,conjugated_form,is_irregular
hacer,es,presente indicativo,Yo,hago,Yes
hacer,es,presente indicativo,Tú,haces,No
hacer,es,presente indicativo,Ella / Él / Usted,hace,No
hacer,es,presente indicativo,Nosotras / Nosotros,hacemos,No
hacer,es,presente indicativo,Vosotras / Vosotros,hacéis,No
hacer,es,presente indicativo,Ellas / Ellos / Ustedes,hacen,No
hacer,es,pretérito indefinido indicativo,Yo,hice,Yes
hacer,es,pretérito indefinido indicativo,Tú,hiciste,Yes
hacer,es,pretérito indefinido indicativo,Ella / Él / Usted,hizo,Yes
hacer,es,pretérito indefinido indicativo,Nosotras / Nosotros,hicimos,Yes
hacer,es,pretérito indefinido indicativo,Vosotras / Vosotros,hicisteis,Yes
hacer,es,pretérito indefinido indicativo,Ellas / Ellos / Ustedes,hicieron,Yes
hacer,es,pretérito imperfecto indicativo,Yo,hacía,No
hacer,es,pretérito imperfecto indicativo,Tú,hacías,No
hacer,es,pretérito imperfecto indicativo,Ella / Él / Usted,hacía,No
hacer,es,pretérito imperfecto indicativo,Nosotras / Nosotros,hacíamos,No
hacer,es,pretérito imperfecto indicativo,Vosotras / Vosotros,hacíais,No
hacer,es,pretérito imperfecto indicativo,Ellas / Ellos / Ustedes,hacían,No
hacer,es,futuro simple indicativo,Yo,haré,Yes
hacer,es,futuro simple indicativo,Tú,harás,Yes
hacer,es,futuro simple indicativo,Ella / Él / Usted,hará,Yes
hacer,es,futuro simple indicativo,Nosotras / Nosotros,haremos,Yes
hacer,es,futuro simple indicativo,Vosotras / Vosotros,haréis,Yes
hacer,es,futuro simple indicativo,Ellas / Ellos / Ustedes,harán,Yes
hacer,es,condicional simple indicativo,Yo,haría,Yes
hacer,es,condicional simple indicativo,Tú,harías,Yes
hacer,es,condicional simple indicativo,Ella / Él / Usted,haría,Yes
hacer,es,condicional simple indicativo,Nosotras / Nosotros,haríamos,Yes
hacer,es,condicional simple indicativo,Vosotras / Vosotros,haríais,Yes
hacer,es,condicional simple indicativo,Ellas / Ellos / Ustedes,harían,Yes
hacer,es,presente perfecto indicativo,Yo,he hecho,Yes
hacer,es,presente perfecto indicativo,Tú,has hecho,Yes
hacer,es,presente perfecto indicativo,Ella / Él / Usted,ha hecho,Yes
hacer,es,presente perfecto indicativo,Nosotras / Nosotros,hemos hecho,Yes
hacer,es,presente perfecto indicativo,Vosotras / Vosotros,habéis hecho,Yes
hacer,es,presente perfecto indicativo,Ellas / Ellos / Ustedes,han hecho,Yes
hacer,es,pretérito pluscuamperfecto indicativo,Yo,había hecho,Yes
hacer,es,pretérito pluscuamperfecto indicativo,Tú,habías hecho,Yes
hacer,es,pretérito pluscuamperfecto indicativo,Ella / Él / Usted,había hecho,Yes
hacer,es,pretérito pluscuamperfecto indicativo,Nosotras / Nosotros,habíamos hecho,Yes
hacer,es,pretérito pluscuamperfecto indicativo,Vosotras / Vosotros,habíais hecho,Yes
hacer,es,pretérito pluscuamperfecto indicativo,Ellas / Ellos / Ustedes,habían hecho,Yes
hacer,es,futuro perfecto indicativo,Yo,habré hecho,Yes
hacer,es,futuro perfecto indicativo,Tú,habrás hecho,Yes
hacer,es,futuro perfecto indicativo,Ella / Él / Usted,habrá hecho,Yes
